ID,facilitycode,district,dcode,name,lab,ftype,managedby,resultdeliverymode,deliverymode,smsprinter,resultsdeliverysponsor,contactperson,contacttelephone,contactperson2,contacttelephone2,smsprinterserialno,smsprinterversion,smsinstalldate,smsprinterno,PUK,PIN,simcardno,network,telephone,fax,email,PostalAddress,physicaladdress,ContactEmail,Flag,telephone2
"0311","0311","19","Nkhata bay","Liuzi Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0312","0312","19","Nkhata bay","Lwazi Dispensary","3","Dispensary","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0313","0313","19","Nkhata bay","Mpamba Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0314","0314","19","Nkhata bay","Mzenga Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0315","0315","19","Nkhata bay","Nkhata Bay District Hospital","3","District Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0316","0316","19","Nkhata bay","Old Maula Court Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0317","0317","19","Nkhata bay","Ruarwe Dispensary","3","Dispensary","LG","2","","","","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0319","0319","19","Nkhata bay","Usisya Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0320","0320","19","Nkhata bay","Nthungwa Health Center","3","Health Center","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0321","0321","19","Nkhata bay","Chisala Health Center","3","Health Center","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0322","0322","19","Nkhata bay","Kavuzi  Health centre","0","","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0401","0401","25","Rumphi","Bolero Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0402","0402","25","Rumphi","Bwengu Health Centre","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
